date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:39:26	22147/22147	---M--	200	added ('OK')	text/html	etag:%225683-4a1ef86f06684%22	http://vimdoc.sourceforge.net/htmldoc/usr_toc.html	D:/Michael_Ohlert/Downloads/Vim_Online_Doc/vimdoc.sourceforge.net/htmldoc/usr_toc.html	(from )
13:39:26	1692/1692	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2026%20Mar%202012%2011:39:26%20GMT	http://vimdoc.sourceforge.net/robots.txt		(from )
13:39:27	18394/18394	---M--	200	added ('OK')	text/html	etag:%2247da-4a1ef82d38d81%22	http://vimdoc.sourceforge.net/htmldoc/help.html	D:/Michael_Ohlert/Downloads/Vim_Online_Doc/vimdoc.sourceforge.net/htmldoc/help.html	(from )
13:39:29	68179/68179	---M--	200	added ('OK')	text/html	etag:%2210a53-4a1ef830151db%22	http://vimdoc.sourceforge.net/htmldoc/intro.html	D:/Michael_Ohlert/Downloads/Vim_Online_Doc/vimdoc.sourceforge.net/htmldoc/intro.html	(from )
13:39:29	147689/147689	---M--	200	added ('OK')	text/html	etag:%22240e9-4a1ef84bbd4c6%22	http://vimdoc.sourceforge.net/htmldoc/quickref.html	D:/Michael_Ohlert/Downloads/Vim_Online_Doc/vimdoc.sourceforge.net/htmldoc/quickref.html	(from )
13:39:31	11295/11295	---M--	200	added ('OK')	text/html	etag:%222c1f-4a1ef85ecffd1%22	http://vimdoc.sourceforge.net/htmldoc/usr_01.html	D:/Michael_Ohlert/Downloads/Vim_Online_Doc/vimdoc.sourceforge.net/htmldoc/usr_01.html	(from )
13:39:31	27988/27988	---M--	200	added ('OK')	text/html	etag:%226d54-4a1ef861ac685%22	http://vimdoc.sourceforge.net/htmldoc/usr_02.html	D:/Michael_Ohlert/Downloads/Vim_Online_Doc/vimdoc.sourceforge.net/htmldoc/usr_02.html	(from )
13:39:33	37698/37698	---M--	200	added ('OK')	text/html	etag:%229342-4a1ef861ac77f%22	http://vimdoc.sourceforge.net/htmldoc/usr_03.html	D:/Michael_Ohlert/Downloads/Vim_Online_Doc/vimdoc.sourceforge.net/htmldoc/usr_03.html	(from )
13:39:34	33046/33046	---M--	200	added ('OK')	text/html	etag:%228116-4a1ef861ac78f%22	http://vimdoc.sourceforge.net/htmldoc/usr_04.html	D:/Michael_Ohlert/Downloads/Vim_Online_Doc/vimdoc.sourceforge.net/htmldoc/usr_04.html	(from )
13:39:35	35567/35567	---M--	200	added ('OK')	text/html	etag:%228aef-4a1ef861ac79a%22	http://vimdoc.sourceforge.net/htmldoc/usr_05.html	D:/Michael_Ohlert/Downloads/Vim_Online_Doc/vimdoc.sourceforge.net/htmldoc/usr_05.html	(from )
13:39:35	14371/14371	---M--	200	added ('OK')	text/html	etag:%223823-4a1ef862a092e%22	http://vimdoc.sourceforge.net/htmldoc/usr_06.html	D:/Michael_Ohlert/Downloads/Vim_Online_Doc/vimdoc.sourceforge.net/htmldoc/usr_06.html	(from )
13:39:37	274642/274642	---M--	200	added ('OK')	text/html	etag:%22430d2-4a1ef85ddbd95%22	http://vimdoc.sourceforge.net/htmldoc/syntax.html	D:/Michael_Ohlert/Downloads/Vim_Online_Doc/vimdoc.sourceforge.net/htmldoc/syntax.html	(from )
13:39:39	23767/23767	---M--	200	added ('OK')	text/html	etag:%225cd7-4a1ef86671274%22	http://vimdoc.sourceforge.net/htmldoc/usr_07.html	D:/Michael_Ohlert/Downloads/Vim_Online_Doc/vimdoc.sourceforge.net/htmldoc/usr_07.html	(from )
13:39:39	31211/31211	---M--	200	added ('OK')	text/html	etag:%2279eb-4a1ef86394e9d%22	http://vimdoc.sourceforge.net/htmldoc/usr_08.html	D:/Michael_Ohlert/Downloads/Vim_Online_Doc/vimdoc.sourceforge.net/htmldoc/usr_08.html	(from )
13:39:41	86434/86434	---M--	200	added ('OK')	text/html	etag:%22151a2-4a1ef88d8afdc%22	http://vimdoc.sourceforge.net/htmldoc/windows.html	D:/Michael_Ohlert/Downloads/Vim_Online_Doc/vimdoc.sourceforge.net/htmldoc/windows.html	(from )
13:39:43	17507/17507	---M--	200	added ('OK')	text/html	etag:%224463-4a1ef8657d011%22	http://vimdoc.sourceforge.net/htmldoc/usr_09.html	D:/Michael_Ohlert/Downloads/Vim_Online_Doc/vimdoc.sourceforge.net/htmldoc/usr_09.html	(from )
13:39:44	69394/69394	---M--	200	added ('OK')	text/html	etag:%2210f12-4a1ef8277fde6%22	http://vimdoc.sourceforge.net/htmldoc/gui.html	D:/Michael_Ohlert/Downloads/Vim_Online_Doc/vimdoc.sourceforge.net/htmldoc/gui.html	(from )
13:39:45	45260/45260	---M--	200	added ('OK')	text/html	etag:%22b0cc-4a1ef8676548d%22	http://vimdoc.sourceforge.net/htmldoc/usr_10.html	D:/Michael_Ohlert/Downloads/Vim_Online_Doc/vimdoc.sourceforge.net/htmldoc/usr_10.html	(from )
13:39:46	17889/17889	---M--	200	added ('OK')	text/html	etag:%2245e1-4a1ef86488e50%22	http://vimdoc.sourceforge.net/htmldoc/usr_11.html	D:/Michael_Ohlert/Downloads/Vim_Online_Doc/vimdoc.sourceforge.net/htmldoc/usr_11.html	(from )
13:39:47	21335/21335	---M--	200	added ('OK')	text/html	etag:%225357-4a1ef86488f1c%22	http://vimdoc.sourceforge.net/htmldoc/usr_12.html	D:/Michael_Ohlert/Downloads/Vim_Online_Doc/vimdoc.sourceforge.net/htmldoc/usr_12.html	(from )
13:39:48	23475/23475	---M--	200	added ('OK')	text/html	etag:%225bb3-4a1ef8657d053%22	http://vimdoc.sourceforge.net/htmldoc/usr_20.html	D:/Michael_Ohlert/Downloads/Vim_Online_Doc/vimdoc.sourceforge.net/htmldoc/usr_20.html	(from )
13:39:48	21813/21813	---M--	200	added ('OK')	text/html	etag:%225535-4a1ef86765406%22	http://vimdoc.sourceforge.net/htmldoc/usr_22.html	D:/Michael_Ohlert/Downloads/Vim_Online_Doc/vimdoc.sourceforge.net/htmldoc/usr_22.html	(from )
13:39:49	18819/18819	---M--	200	added ('OK')	text/html	etag:%224983-4a1ef86765442%22	http://vimdoc.sourceforge.net/htmldoc/usr_23.html	D:/Michael_Ohlert/Downloads/Vim_Online_Doc/vimdoc.sourceforge.net/htmldoc/usr_23.html	(from )
13:39:50	34977/34977	---M--	200	added ('OK')	text/html	etag:%2288a1-4a1ef86765463%22	http://vimdoc.sourceforge.net/htmldoc/usr_24.html	D:/Michael_Ohlert/Downloads/Vim_Online_Doc/vimdoc.sourceforge.net/htmldoc/usr_24.html	(from )
13:39:51	29746/29746	---M--	200	added ('OK')	text/html	etag:%227432-4a1ef86c29f43%22	http://vimdoc.sourceforge.net/htmldoc/usr_25.html	D:/Michael_Ohlert/Downloads/Vim_Online_Doc/vimdoc.sourceforge.net/htmldoc/usr_25.html	(from )
13:39:51	13840/13840	---M--	200	added ('OK')	text/html	etag:%223610-4a1ef86859686%22	http://vimdoc.sourceforge.net/htmldoc/usr_26.html	D:/Michael_Ohlert/Downloads/Vim_Online_Doc/vimdoc.sourceforge.net/htmldoc/usr_26.html	(from )
13:39:52	27495/27495	---M--	200	added ('OK')	text/html	etag:%226b67-4a1ef8694d8dd%22	http://vimdoc.sourceforge.net/htmldoc/usr_27.html	D:/Michael_Ohlert/Downloads/Vim_Online_Doc/vimdoc.sourceforge.net/htmldoc/usr_27.html	(from )
13:39:53	26352/26352	---M--	200	added ('OK')	text/html	etag:%2266f0-4a1ef86a41afc%22	http://vimdoc.sourceforge.net/htmldoc/usr_28.html	D:/Michael_Ohlert/Downloads/Vim_Online_Doc/vimdoc.sourceforge.net/htmldoc/usr_28.html	(from )
13:39:54	36934/36934	---M--	200	added ('OK')	text/html	etag:%229046-4a1ef822bb8ff%22	http://vimdoc.sourceforge.net/htmldoc/fold.html	D:/Michael_Ohlert/Downloads/Vim_Online_Doc/vimdoc.sourceforge.net/htmldoc/fold.html	(from )
13:39:55	32103/32103	---M--	200	added ('OK')	text/html	etag:%227d67-4a1ef8694d8e1%22	http://vimdoc.sourceforge.net/htmldoc/usr_29.html	D:/Michael_Ohlert/Downloads/Vim_Online_Doc/vimdoc.sourceforge.net/htmldoc/usr_29.html	(from )
